角色ID,名字,泛用性評估,功能定位與戰術價值,培養建議
035,ウルトラケサラン,白質面板偏低，不建議盲目帶入常駐推圖關卡。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,綜合評價極低，幾乎沒有對策性，不推薦抽取及培養。
043,ネコアイスクリスタル,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
044,ネコマシン・滅,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <紅色敵人、異星敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
045,獄炎鬼にゃんま,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【戰術控場型角色】 擅長以 <攻擊力下降> 控制 <無特定屬性> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
054,フィリバスター,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 · 針對多種屬性敵人發揮控場，泛用戰術價值較高。 主要使用 <使動作停止> 發揮壓制能力。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
058,ネコパラディン,泛用性表現中規中矩，面對非針對屬性時，傷害和坦度會有明顯不足。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
060,ネコベビーワールド,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【戰術控場型角色】 擅長以 <打飛敵人> 控制 <漂浮敵人、異星敵人> 。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
067,KHM46,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【倉庫管理員】。 定位較為尷尬或屬於前期過渡角色，戰術價值有待開發。,中等強度，可視關卡敵人屬性與陣容缺口，適當投入資源。
072,飛翔の武神・真田幸村,白質面板優秀，具備極高的常駐泛用性，即使面對非特化關卡也能作為主力出擊。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人> 發揮特化效果。 · 傷害特化：對指定屬性敵人具極高爆發輸出，屬該屬性的絕佳輸出手。,綜合評價極高，強烈建議優先培養並編入對應關卡主力。
073,憤怒の武神・前田慶次,白質面板高，非針對屬性也有一定強度，在沒有更強力的泛用貓時，可作為萬用解上場。,核心定位為【屬性特化型角色】。 主要針對 <黑色敵人> 發揮特化效果。 · 生存特化：在對應屬性關卡中坦度與續戰力突出，可站場承受傷害。,強度偏高，有一定的戰力，培養完成可以適應大部分關卡。
